MBK	ACC	OVV	EGG
0.025410	-0.048765	39.418100	-0.063262
0.146528	-0.041247	44.746220	-0.067099
0.278333	-0.035885	52.089306	-0.067169
0.340269	-0.028573	60.415475	-0.068318
0.356568	-0.022642	68.982440	-0.070237
0.278251	-0.016911	77.546439	-0.069869
0.173742	-0.010262	84.334940	-0.070483
0.020351	-0.002200	89.704833	-0.072133
-0.106948	0.007444	92.790376	-0.071488
-0.217808	0.019729	93.673003	-0.074699
-0.281597	0.036158	92.206345	-0.071561
-0.315082	0.056815	88.909766	-0.072785
-0.331894	0.082900	83.824803	-0.030198
-0.347818	0.104211	77.090269	0.009140
-0.357675	0.109514	68.534369	0.023911
-0.389565	0.102614	58.332324	0.032779
-0.435560	0.087041	44.772496	0.035947
-0.514301	0.066970	27.949513	0.038890
-0.552766	0.043323	9.544505	0.036247
-0.450322	0.020042	-3.490994	0.031584
-0.233755	0.004912	-7.985091	0.029769
0.141768	-0.001338	-2.999250	0.025660
0.465105	-0.002808	7.348847	0.020256
0.686757	-0.005221	17.114021	0.014672
0.666288	-0.011907	24.862300	0.008763
0.504607	-0.023174	29.686852	0.004070
0.257078	-0.034819	33.990596	-0.001879
0.071891	-0.047031	37.875193	-0.010448
-0.010082	-0.058122	41.580266	-0.018833
-0.034157	-0.067356	44.421677	-0.022190
-0.009482	-0.073747	46.090393	-0.030192
-0.029404	-0.074161	45.981431	-0.038683
-0.061937	-0.071692	43.158144	-0.045154
-0.112086	-0.067417	39.353654	-0.050602
-0.121165	-0.063897	36.486937	-0.054363
